d_gene,d_5_del,d_3_del,lbl__d_gene,lbl__d_5_del,lbl__d_3_del,Prob
0,0,0, TRBD1*01,-4,-4,0.0
0,0,1, TRBD1*01,-4,-3,0.0
0,0,2, TRBD1*01,-4,-2,0.0
0,0,3, TRBD1*01,-4,-1,1.6468e-08
0,0,4, TRBD1*01,-4,0,0.00482319
0,0,5, TRBD1*01,-4,1,1.08101e-09
0,0,6, TRBD1*01,-4,2,0.0195311
0,0,7, TRBD1*01,-4,3,0.0210679
0,0,8, TRBD1*01,-4,4,0.0359338
0,0,9, TRBD1*01,-4,5,0.0328678
0,0,10, TRBD1*01,-4,6,2.25686e-05
0,0,11, TRBD1*01,-4,7,4.97463e-07
0,0,12, TRBD1*01,-4,8,0.0
0,0,13, TRBD1*01,-4,9,9.31048e-08
0,0,14, TRBD1*01,-4,10,1.01642e-05
0,0,15, TRBD1*01,-4,11,0.000536761
0,0,16, TRBD1*01,-4,12,0.0260845
0,0,17, TRBD1*01,-4,13,0.0391021
0,0,18, TRBD1*01,-4,14,0.319224
0,0,19, TRBD1*01,-4,15,0.289631
0,0,20, TRBD1*01,-4,16,0.211165
0,1,0, TRBD1*01,-3,-4,0.0
0,1,1, TRBD1*01,-3,-3,0.0
0,1,2, TRBD1*01,-3,-2,6.86291e-08
0,1,3, TRBD1*01,-3,-1,2.00464e-09
0,1,4, TRBD1*01,-3,0,0.00163832
0,1,5, TRBD1*01,-3,1,2.02919e-06
0,1,6, TRBD1*01,-3,2,0.0306066
0,1,7, TRBD1*01,-3,3,0.0126832
0,1,8, TRBD1*01,-3,4,0.000872623
0,1,9, TRBD1*01,-3,5,0.016518
0,1,10, TRBD1*01,-3,6,0.00495292
0,1,11, TRBD1*01,-3,7,0.000776747
0,1,12, TRBD1*01,-3,8,4.45576e-05
0,1,13, TRBD1*01,-3,9,0.000667902
0,1,14, TRBD1*01,-3,10,0.00274004
0,1,15, TRBD1*01,-3,11,0.00435049
0,1,16, TRBD1*01,-3,12,0.300943
0,1,17, TRBD1*01,-3,13,0.182499
0,1,18, TRBD1*01,-3,14,0.13817
0,1,19, TRBD1*01,-3,15,0.302534
0,1,20, TRBD1*01,-3,16,0.0
0,2,0, TRBD1*01,-2,-4,0.0
0,2,1, TRBD1*01,-2,-3,0.0
0,2,2, TRBD1*01,-2,-2,0.0010922
0,2,3, TRBD1*01,-2,-1,0.000101759
0,2,4, TRBD1*01,-2,0,0.0562338
0,2,5, TRBD1*01,-2,1,0.000997324
0,2,6, TRBD1*01,-2,2,0.0595206
0,2,7, TRBD1*01,-2,3,0.274629
0,2,8, TRBD1*01,-2,4,0.0446017
0,2,9, TRBD1*01,-2,5,0.180203
0,2,10, TRBD1*01,-2,6,0.13423
0,2,11, TRBD1*01,-2,7,0.112544
0,2,12, TRBD1*01,-2,8,0.000267556
0,2,13, TRBD1*01,-2,9,0.0160603
0,2,14, TRBD1*01,-2,10,0.00233515
0,2,15, TRBD1*01,-2,11,0.0190926
0,2,16, TRBD1*01,-2,12,0.0269736
0,2,17, TRBD1*01,-2,13,0.0270157
0,2,18, TRBD1*01,-2,14,0.0441026
0,2,19, TRBD1*01,-2,15,0.0
0,2,20, TRBD1*01,-2,16,0.0
0,3,0, TRBD1*01,-1,-4,0.0
0,3,1, TRBD1*01,-1,-3,0.0
0,3,2, TRBD1*01,-1,-2,0.0
0,3,3, TRBD1*01,-1,-1,0.000124927
