seq_index;scenario_rank;scenario_proba_cond_seq;GeneChoice_V_gene_Undefined_side_prio7_size89;GeneChoice_J_gene_Undefined_side_prio7_size15;GeneChoice_D_gene_Undefined_side_prio6_size3;Deletion_V_gene_Three_prime_prio5_size21;Deletion_D_gene_Five_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Deletion_D_gene_Three_prime_prio5_size21;Insertion_VD_genes_Undefined_side_prio4_size31;DinucMarkov_VD_genes_Undefined_side_prio3_size16;Insertion_DJ_gene_Undefined_side_prio2_size31;DinucMarkov_DJ_gene_Undefined_side_prio1_size16;Mismatches
998;1;0.783497;(77);(4);(0);(9);(6);(19);(9);(4);(1,1,2,3);(7);(2,2,2,2,0,2,0);()
998;2;0.0768844;(77);(4);(0);(9);(6);(19);(10);(4);(1,1,2,3);(8);(2,2,2,2,0,2,0,2);()
998;3;0.0436339;(77);(4);(0);(9);(7);(19);(9);(5);(1,1,2,3,2);(7);(2,2,2,2,0,2,0);()
998;4;0.0235172;(77);(4);(0);(10);(6);(19);(9);(5);(1,1,1,2,3);(7);(2,2,2,2,0,2,0);()
998;5;0.0218091;(77);(4);(0);(9);(8);(19);(9);(6);(1,1,2,3,2,0);(7);(2,2,2,2,0,2,0);()
998;6;0.0136996;(77);(4);(0);(9);(6);(19);(11);(4);(1,1,2,3);(9);(2,2,2,2,0,2,0,2,0);()
998;7;0.00509515;(77);(4);(0);(9);(7);(19);(10);(5);(1,1,2,3,2);(8);(2,2,2,2,0,2,0,2);()
998;8;0.00440395;(77);(4);(0);(11);(6);(19);(9);(6);(2,1,1,1,2,3);(7);(2,2,2,2,0,2,0);()
998;9;0.00298831;(77);(4);(0);(9);(9);(19);(6);(11);(1,1,2,3,2,0,1,0,2,0,2);(0);();()
998;10;0.00277271;(77);(4);(0);(9);(6);(19);(7);(4);(1,1,2,3);(5);(2,2,2,2,0);(294)
997;1;0.0865536;(40);(8);(0);(13);(8);(9);(7);(0);();(0);();()
997;2;0.0414414;(40);(8);(0);(10);(5);(11);(11);(0);();(0);();()
997;3;0.0218584;(40);(8);(0);(11);(12);(9);(5);(0);();(0);();()
997;4;0.0199373;(40);(8);(0);(13);(8);(10);(7);(0);();(1);(0);()
997;5;0.0194663;(40);(8);(0);(14);(8);(9);(7);(1);(2);(0);();()
997;6;0.0167571;(40);(8);(0);(13);(8);(9);(9);(0);();(2);(2,2);()
997;7;0.0166197;(40);(8);(0);(11);(11);(9);(6);(0);();(0);();()
997;8;0.0159484;(40);(8);(0);(11);(10);(9);(7);(0);();(0);();()
997;9;0.0158248;(40);(8);(0);(13);(8);(9);(8);(0);();(1);(2);()
997;10;0.0157651;(40);(8);(0);(13);(8);(11);(7);(0);();(2);(1,0);()
996;1;0.205181;(29);(9);(1);(5);(7);(10);(6);(9);(2,2,0,2,0,1,2,3,3);(2);(2,2);()
996;2;0.117326;(29);(9);(1);(5);(7);(10);(5);(9);(2,2,0,2,0,1,2,3,3);(1);(2);()
996;3;0.104667;(29);(9);(1);(5);(7);(10);(7);(9);(2,2,0,2,0,1,2,3,3);(3);(2,2,2);()
996;4;0.0870758;(29);(9);(1);(5);(8);(10);(6);(10);(2,2,0,2,0,1,2,3,3,0);(2);(2,2);()
996;5;0.056031;(29);(9);(1);(5);(8);(10);(5);(10);(2,2,0,2,0,1,2,3,3,0);(1);(2);()
996;6;0.0288946;(29);(9);(1);(5);(7);(11);(6);(9);(2,2,0,2,0,1,2,3,3);(3);(2,2,2);()
996;7;0.02775;(29);(9);(1);(5);(8);(10);(7);(10);(2,2,0,2,0,1,2,3,3,0);(3);(2,2,2);()
996;8;0.0275733;(29);(9);(1);(6);(7);(10);(6);(10);(2,2,2,0,2,0,1,2,3,3);(2);(2,2);()
996;9;0.0264403;(29);(9);(1);(5);(7);(11);(5);(9);(2,2,0,2,0,1,2,3,3);(2);(2,2);()
996;10;0.0205877;(29);(9);(1);(5);(7);(10);(8);(9);(2,2,0,2,0,1,2,3,3);(4);(2,2,2,2);()
999;1;0.319569;(27);(0);(2);(7);(6);(5);(15);(7);(2,3,1,3,3,3,0);(6);(0,3,1,3,3,2);()
999;2;0.265235;(27);(0);(0);(7);(6);(5);(11);(7);(2,3,1,3,3,3,0);(6);(0,3,1,3,3,2);()
999;3;0.0413552;(27);(0);(2);(7);(9);(5);(12);(5);(2,3,1,3,3);(8);(0,3,1,3,3,2,1,0);()
999;4;0.0361336;(27);(0);(2);(8);(6);(5);(15);(8);(0,2,3,1,3,3,3,0);(6);(0,3,1,3,3,2);()
999;5;0.02999;(27);(0);(0);(8);(6);(5);(11);(8);(0,2,3,1,3,3,3,0);(6);(0,3,1,3,3,2);()
999;6;0.0253217;(27);(0);(2);(7);(6);(6);(15);(7);(2,3,1,3,3,3,0);(7);(2,0,3,1,3,3,2);()
