seq_index;gene_name;score;offset;insertions;deletions;mismatches;length;5_p_align_offset;3_p_align_offset
0;L36092|TRBV29-1*01|Homo sapiens|F|V-REGION|574270..574559|290 nt|1| | | | |290+0=290| | |;225;-240;{};{};{46,49};46;0;45
0;M13847|TRBV29-1*02|Homo sapiens|(F)|V-REGION|17..304|288 nt|1| | | | |288+0=288| | |;225;-240;{};{};{46,49};46;0;45
1;U66059|TRBV10-1*01|Homo sapiens|F|V-REGION|214801..215087|287 nt|1| | | | |287+0=287| | |;109;-225;{};{};{4,5,13,14,20,21,38,41,47,57,59,60,61};57;0;56
1;AF009660|TRBV10-1*02|Homo sapiens|F|V-REGION|54913..55199|287 nt|1| | | | |287+0=287| | |;109;-225;{};{};{4,5,13,14,20,21,38,41,47,57,59,60,61};57;0;56
1;AF009660|TRBV10-1*04|Homo sapiens|F|V-REGION|54913..55199|287 nt|1| Found in Data! Indiv 7. Also found by BLAST | | | |287+0=287| | |;90;-225;{};{};{4,5,9,13,14,20,21,38,41,47,57,59,60,61};57;0;56
1;U66059|TRBV10-2*01|Homo sapiens|F|V-REGION|239867..240153|287 nt|1| | | | |287+0=287| | |;109;-225;{};{};{4,5,13,14,18,20,22,41,47,57,59,60,61};57;0;56
1;U03115|TRBV10-3*01|Homo sapiens|F|V-REGION|14880..15166|287 nt|1| | | | |287+0=287| | |;109;-225;{};{};{4,5,13,14,18,20,21,22,52,57,59,60,61};57;0;56
1;U17047|TRBV10-3*02|Homo sapiens|F|V-REGION|84..365|282 nt|1| | | | |282+0=282| Extended by 2 | |;109;-222;{};{};{4,5,13,14,18,20,21,22,52,57,59,60,61};57;0;56
1;U66059|TRBV5-1*01|Homo sapiens|F|V-REGION|113806..114091|286 nt|1| | | | |286+0=286| | |;50;2;{};{};{2,13,14,15,16,17,18,19,20,22,24,25,26,27,29,31,32,34,35,36,37,38,39,41,42,43,44,45,46,47,49,55,56,58,59,60,61,62,63,68,70,71,72,73,75,76,77,79,80,81,82,83,84,85,86};11;2;12
1;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;50;2;{};{};{2,13,14,15,17,18,19,20,21,22,24,26,29,32,34,35,36,37,38,39,41,42,43,44,45,46,47,49,55,56,58,59,60,61,62,63,67,68,70,71,72,73,75,76,77,79,80,81,82,83,84,85,86};11;2;12
1;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;50;2;{};{};{2,13,14,15,17,18,19,20,21,22,24,26,29,32,34,35,36,37,38,39,41,42,43,44,45,46,47,49,55,56,58,59,60,61,62,63,67,68,70,71,72,73,75,76,77,79,80,81,82,83,84,85,86};11;2;12
1;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;50;2;{};{};{2,13,14,15,16,17,18,19,20,21,22,24,26,29,32,34,35,36,37,38,39,41,42,43,44,45,46,47,49,55,56,57,58,59,60,61,62,63,67,68,70,71,72,73,75,76,77,79,80,81,82,83,84,85,86};11;2;12
1;X61446|TRBV6-1*01|Homo sapiens|F|V-REGION|412..698|287 nt|1| | | | |287+0=287| | |;261;-225;{};{};{13,57,59,61};57;0;56
1;X61445|TRBV6-2*01|Homo sapiens|F|V-REGION|412..698|287 nt|1| | | | |287+0=287| | |;200;-225;{};{};{2,3,6,13,29,60,61};60;0;59
1;U07978|TRBV6-3*01|Homo sapiens|F|V-REGION|29129..29415|287 nt|1| | | | |287+0=287| | |;200;-225;{};{};{2,3,6,13,29,60,61};60;0;59
1;X61653|TRBV6-4*01|Homo sapiens|F|V-REGION|426..712|287 nt|1| | | | |287+0=287| | |;128;-225;{};{};{4,6,10,13,14,19,20,26,57,60,61};57;0;56
1;U66059|TRBV6-5*01|Homo sapiens|F|V-REGION|265870..266156|287 nt|1| | | | |287+0=287| | |;238;-225;{};{};{9,10,13,60,61};60;0;59
1;L36092|TRBV6-6*01|Homo sapiens|F|V-REGION|284442..284728|287 nt|1| | | | |287+0=287| | |;295;-225;{};{};{60,61};60;0;59
1;AF009662|TRBV6-6*02|Homo sapiens|F|V-REGION|24864..25150|287 nt|1| | | | |287+0=287| | |;295;-225;{};{};{60,61};60;0;59
1;L36092|TRBV6-7*01|Homo sapiens|ORF|V-REGION|302725..303011|287 nt|1| | | | |287+0=287| | |;181;-225;{};{};{4,13,14,26,32,38,60,61};60;0;59
1;L36092|TRBV6-8*01|Homo sapiens|F|V-REGION|322240..322523|284 nt|1| | | | |284+0=284| | |;238;-222;{};{};{10,13,44,60,61};60;0;59
1;X61447|TRBV6-9*01|Homo sapiens|F|V-REGION|380..666|287 nt|1| | | | |287+0=287| | |;233;-225;{};{};{13,14,38,59,60,61};59;0;58
2;U66061|TRBV30*01|Homo sapiens|F|V-REGION|214317..214600|284 nt|1| | | | |284+0=284| |rev-compl|;260;-228;{};{};{53,55};53;0;52
2;Z13967|TRBV30*02|Homo sapiens|F|V-REGION|419..699|281 nt|1| | | | |281+0=281|partial in 5'| |;241;-225;{};{};{17,53,55};53;0;52
2;M13554|TRBV30*04|Homo sapiens|(F)|V-REGION|1..276|276 nt|1| | | | |276+0=276| Extended by 2 | |;241;-222;{};{};{17,53,55};53;0;52
3;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;134;-243;{};{};{0,7,8,17,21,43,44,46};43;0;42
3;U66059|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;115;-243;{};{};{0,3,7,8,10,17,43,44,46};43;0;42
